C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,ORG_ID
지수종류별,1.492932,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201108,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.58888,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201109,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.470389,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201110,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.524802,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201111,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.544703,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201112,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.438559,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201201,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.382295,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201202,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.391735,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201203,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.358705,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201204,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.460398,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201205,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.451547,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201206,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.424659,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201207,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.392612,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201208,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.328552,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201209,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.389852,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201210,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.3745,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201211,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.329736,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201212,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.352469,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201301,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.3094,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201302,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.323595,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201303,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.206885,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201304,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.184896,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201305,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.272773,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201306,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.211668,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201307,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.199609,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201308,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.157729,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201309,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.134499,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201310,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.126094,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201311,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.144532,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201312,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.185807,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201401,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.162865,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201402,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.157744,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201403,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.115794,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201404,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
